Platform,300.0,950.0,1835.0,130.0
Platform,0.0,0.0,85.0,1080.0
Platform,0.0,0.0,300.0,50.0
Platform,1835.0,0.0,85.0,1080.0
Platform,275.0,1050.0,25.0,25.0
Platform,450.0,830.0,25.0,25.0
Platform,600.0,760.0,25.0,25.0
Platform,750.0,690.0,25.0,25.0
Platform,900.0,620.0,25.0,25.0
Platform,1050.0,550.0,300.0,40.0
Platform,1600.0,850.0,25.0,100.0
Platform,1520.0,850.0,25.0,100.0
Platform,1690.0,700.0,25.0,25.0
Platform,1810.0,425.0,25.0,25.0
Platform,1810.0,300.0,25.0,25.0
Platform,1810.0,175.0,25.0,25.0
Platform,1810.0,50.0,25.0,25.0
Platform,1600.0,0.0,50.0,50.0
